x,channel height,channel width,hot gas wall,outer thickness,number channels
0.0,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.01507537688442211,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.03015075376884422,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.04522613065326633,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.06030150753768844,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.07537688442211055,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.09045226130653267,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.10552763819095477,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.12060301507537688,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.135678391959799,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.1507537688442211,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.1658291457286432,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.18090452261306533,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.19597989949748743,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.21105527638190955,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.22613065326633164,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.24120603015075376,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.2562814070351759,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.271356783919598,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.28643216080402006,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.3015075376884422,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.3165829145728643,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.3316582914572864,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.34673366834170855,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.36180904522613067,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.37688442211055273,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.39195979899497485,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.40703517587939697,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.4221105527638191,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.4371859296482412,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.4522613065326633,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.4673366834170854,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.4824120603015075,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.49748743718592964,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.5125628140703518,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.5276381909547738,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.542713567839196,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.5577889447236181,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.5728643216080401,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.5879396984924623,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.6030150753768844,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.6180904522613065,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.6331658291457286,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.6482412060301507,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.6633165829145728,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.6783919597989949,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.6934673366834171,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.7085427135678392,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.7236180904522613,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.7386934673366834,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.7537688442211055,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.7688442211055276,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.7839195979899497,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.7989949748743719,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.8140703517587939,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.829145728643216,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.8442211055276382,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.8592964824120602,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.8743718592964824,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.8894472361809045,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
0.9045226130653266,0.01,0.0003926829327955169,0.005,0.004999999999999999,50
